Model,Attack Prevalence,Expected Precision,Recall,False Positive Rate
Isolation Forest,0.01,0.07143819316600063,0.57276,0.0752
Isolation Forest,0.05,0.28615679769779573,0.57276,0.0752
Isolation Forest,0.1,0.45836934600979545,0.57276,0.0752
Isolation Forest,0.25,0.7174207124605441,0.57276,0.0752
Isolation Forest,0.5,0.8839434532995863,0.57276,0.0752
One-Class SVM,0.01,0.10448045757864634,0.59184,0.05124
One-Class SVM,0.05,0.37807589114603296,0.59184,0.05124
One-Class SVM,0.1,0.5620512820512821,0.59184,0.05124
One-Class SVM,0.25,0.7938194109126027,0.59184,0.05124
One-Class SVM,0.5,0.9203209554021273,0.59184,0.05124
Local Outlier Factor,0.01,0.05747616516133212,0.85196,0.14112
Local Outlier Factor,0.05,0.24112712411271245,0.85196,0.14112
Local Outlier Factor,0.1,0.4014815931839174,0.85196,0.14112
Local Outlier Factor,0.25,0.6680362575667284,0.85196,0.14112
Local Outlier Factor,0.5,0.8578966447818906,0.85196,0.14112
