Model,Training Samples,Training Time (s)
Isolation Forest,10000,0.1727536249672994
One-Class SVM,10000,0.35025195800699294
Local Outlier Factor,10000,0.12698108301265165
Isolation Forest,25000,0.19350879098055884
One-Class SVM,25000,2.4332487499923445
Local Outlier Factor,25000,0.6447700000135228
Isolation Forest,50000,0.22101216699229553
One-Class SVM,50000,15.199590375006665
Local Outlier Factor,50000,2.4203184999641962
Isolation Forest,100000,0.242570833011996
One-Class SVM,100000,190.61216608301038
Local Outlier Factor,100000,10.790460249991156
